==22432== NVPROF is profiling process 22432, command: python snap.py --data_dir ../data/ --graph dblp --maxepoch 2 --profile-epoch-list 1 --profile-batch-list 100-110 --prof-forward
==22432== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22432== Profiling application: python snap.py --data_dir ../data/ --graph dblp --maxepoch 2 --profile-epoch-list 1 --profile-batch-list 100-110 --prof-forward
==22432== Profiling result:
==22432== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: void add_tensor_kernel_v3<int=2, float, float, int=128, int=1, int=1, int=4, int=2>(cudnnTensorStruct, float*, cudnnTensorStruct, float const *, float, float)
        250                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
        250                             flop_count_sp                Floating Point Operations(Single Precision)         117       47670        9459
        250                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
        250                                inst_fp_64                                    FP Instructions(Double)           0           0           0
        250                                inst_fp_32                                    FP Instructions(Single)         117       41270        8225
        250                                inst_fp_16                                      HP Instructions(Half)           0           0           0
        250                              inst_integer                                       Integer Instructions       15504      327175      103312
        250                  gld_requested_throughput                           Requested Global Load Throughput  63.997MB/s  17.132GB/s  4.6252GB/s
        250                  gst_requested_throughput                          Requested Global Store Throughput  48.939MB/s  16.994GB/s  4.5548GB/s
        250                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        250                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        250                            gld_efficiency                              Global Memory Load Efficiency      32.69%      93.40%      61.61%
        250                            gld_throughput                                     Global Load Throughput  185.58MB/s  18.343GB/s  5.2078GB/s
        250                            gst_efficiency                             Global Memory Store Efficiency      65.00%     100.00%      87.28%
        250                            gst_throughput                                    Global Store Throughput  61.860MB/s  17.241GB/s  4.6449GB/s
        250                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
        250                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
        250                      global_load_requests   Total number of global load requests from Multiprocessor          54        3153         719
        250                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
        250                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
        250                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
        250                           l2_tex_hit_rate                                          L2 Cache Hit Rate      51.85%      78.89%      65.17%
        250                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)          18        2662         539
        250                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)           6        2502         481
        250                  shared_load_transactions                                   Shared Load Transactions           0           0           0
        250                 shared_store_transactions                                  Shared Store Transactions           0           0           0
        250                        tex_cache_hit_rate                                     Unified Cache Hit Rate      51.14%      66.67%      57.85%
        250                    tex_cache_transactions                                 Unified Cache Transactions          54        3153         719
    Kernel: sgemm_32x32x32_NN_vec
        180                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
        180                             flop_count_sp                Floating Point Operations(Single Precision)       83328    44764928    14977194
        180                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
        180                                inst_fp_64                                    FP Instructions(Double)           0           0           0
        180                                inst_fp_32                                    FP Instructions(Single)       49536    22587136     7562069
        180                                inst_fp_16                                      HP Instructions(Half)           0           0           0
        180                              inst_integer                                       Integer Instructions       17024     1830400      621482
        180                  gld_requested_throughput                           Requested Global Load Throughput  290.95MB/s  192.64GB/s  136.14GB/s
        180                  gst_requested_throughput                          Requested Global Store Throughput  161.64MB/s  2.8582GB/s  2.1235GB/s
        180                    shared_load_throughput                              Shared Memory Load Throughput  8.5871GB/s  535.70GB/s  382.17GB/s
        180                   shared_store_throughput                             Shared Memory Store Throughput  5.3038GB/s  278.01GB/s  198.75GB/s
        180                            gld_efficiency                              Global Memory Load Efficiency      88.84%     100.00%      96.28%
        180                            gld_throughput                                     Global Load Throughput  290.95MB/s  216.84GB/s  153.21GB/s
        180                            gst_efficiency                             Global Memory Store Efficiency      87.50%     100.00%      92.11%
        180                            gst_throughput                                    Global Store Throughput  161.64MB/s  3.2172GB/s  2.3865GB/s
        180                         shared_efficiency                                   Shared Memory Efficiency      67.94%      73.92%      71.93%
        180                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       9.43%       2.88%
        180                      global_load_requests   Total number of global load requests from Multiprocessor          18       35048       11704
        180                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
        180                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
        180                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
        180                           l2_tex_hit_rate                                          L2 Cache Hit Rate      11.69%      40.01%      23.69%
        180                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)          72      144769       47906
        180                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)          40        2330         816
        180                  shared_load_transactions                                   Shared Load Transactions         544       96994       32694
        180                 shared_store_transactions                                  Shared Store Transactions         336       50336       17002
        180                        tex_cache_hit_rate                                     Unified Cache Hit Rate      17.81%      30.34%      25.02%
        180                    tex_cache_transactions                                 Unified Cache Transactions          72      140192       46818
    Kernel: void gemv2N_kernel_val<float, float, float, int=128, int=32, int=4, int=4, int=1>(float, float, cublasGemv2Params_v2<float, float, float>)
         25                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         25                             flop_count_sp                Floating Point Operations(Single Precision)        1734      120772       26357
         25                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         25                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         25                                inst_fp_32                                    FP Instructions(Single)        1462       73466       16460
         25                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         25                              inst_integer                                       Integer Instructions       44182      788607      205225
         25                  gld_requested_throughput                           Requested Global Load Throughput  407.86MB/s  44.059GB/s  12.944GB/s
