==9248== NVPROF is profiling process 9248, command: python snap.py --data_dir ../data/ --graph dblp --maxepoch 2 --profile-epoch-list 1 --profile-batch-list 100-110 --prof-backprop
==9248== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==9248== Profiling application: python snap.py --data_dir ../data/ --graph dblp --maxepoch 2 --profile-epoch-list 1 --profile-batch-list 100-110 --prof-backprop
==9248== Profiling result:
==9248== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: void kernelPointwiseApply3<ThresholdUpdateGradInput<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<ThresholdUpdateGradInput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)
        120                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
        120                             flop_count_sp                Floating Point Operations(Single Precision)           0           0           0
        120                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
        120                                inst_fp_64                                    FP Instructions(Double)           0           0           0
        120                                inst_fp_32                                    FP Instructions(Single)         130       19730        3884
        120                                inst_fp_16                                      HP Instructions(Half)           0           0           0
        120                              inst_integer                                       Integer Instructions        4404      482618       90879
        120                  gld_requested_throughput                           Requested Global Load Throughput  331.71MB/s  45.621GB/s  9.9242GB/s
        120                  gst_requested_throughput                          Requested Global Store Throughput  233.04MB/s  27.132GB/s  6.5617GB/s
        120                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        120                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        120                            gld_efficiency                              Global Memory Load Efficiency      68.75%     100.00%      76.66%
        120                            gld_throughput                                     Global Load Throughput  432.44MB/s  53.950GB/s  12.909GB/s
        120                            gst_efficiency                             Global Memory Store Efficiency      95.59%     100.00%      98.89%
        120                            gst_throughput                                    Global Store Throughput  243.80MB/s  27.140GB/s  6.5671GB/s
        120                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
        120                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
        120                      global_load_requests   Total number of global load requests from Multiprocessor          30        4918         955
        120                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
        120                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
        120                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
        120                           l2_tex_hit_rate                                          L2 Cache Hit Rate       0.00%       0.00%       0.00%
        120                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)          28        4920         955
        120                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)          17        2467         485
        120                  shared_load_transactions                                   Shared Load Transactions           0           0           0
        120                 shared_store_transactions                                  Shared Store Transactions           0           0           0
        120                        tex_cache_hit_rate                                     Unified Cache Hit Rate      45.65%      50.00%      48.56%
        120                    tex_cache_transactions                                 Unified Cache Transactions          30        4918         955
