==29522== NVPROF is profiling process 29522, command: python main.py --dataset qm9 --datasetPath ./data/qm9/dsgdb9nsd/ --epochs 2 --model MPNNv1 --log-interval 20 --profile-epoch-list 1 --profile-batch-list 100 --batch-size 10 --prefetch 10 --stop-after-profiling --prof-forward --logPath ./log/2019_03_02__20
==29522== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==29522== Profiling application: python main.py --dataset qm9 --datasetPath ./data/qm9/dsgdb9nsd/ --epochs 2 --model MPNNv1 --log-interval 20 --profile-epoch-list 1 --profile-batch-list 100 --batch-size 10 --prefetch 10 --stop-after-profiling --prof-forward --logPath ./log/2019_03_02__20
==29522== Profiling result:
==29522== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=1, int=2>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)
         95                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         95                             flop_count_sp                Floating Point Operations(Single Precision)           0           0           0
         95                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         95                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         95                                inst_fp_32                                    FP Instructions(Single)           0           0           0
         95                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         95                              inst_integer                                       Integer Instructions       10748  1099107746    38611036
         95                  gld_requested_throughput                           Requested Global Load Throughput  230.73MB/s  195.70GB/s  179.10GB/s
         95                  gst_requested_throughput                          Requested Global Store Throughput  576.82MB/s  195.70GB/s  181.18GB/s
         95                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         95                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         95                            gld_efficiency                              Global Memory Load Efficiency      25.00%     100.00%      91.80%
         95                            gld_throughput                                     Global Load Throughput  307.64MB/s  238.76GB/s  215.40GB/s
         95                            gst_efficiency                             Global Memory Store Efficiency      98.68%     100.00%      99.72%
         95                            gst_throughput                                    Global Store Throughput  584.51MB/s  195.70GB/s  181.18GB/s
         95                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
         95                           global_hit_rate                          Global Hit Rate in unified l1/tex      48.00%      99.50%      71.82%
         95                      global_load_requests   Total number of global load requests from Multiprocessor          38     4163282      146249
         95                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         95                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         95                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         95                           l2_tex_hit_rate                                          L2 Cache Hit Rate       0.59%      31.58%      15.80%
         95                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)           4       25346        1197
         95                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)          38     4163282      146249
         95                  shared_load_transactions                                   Shared Load Transactions           0           0           0
         95                 shared_store_transactions                                  Shared Store Transactions           0           0           0
         95                        tex_cache_hit_rate                                     Unified Cache Hit Rate      62.00%      77.01%      67.86%
         95                    tex_cache_transactions                                 Unified Cache Transactions          38     4163282      146249
    Kernel: sgemm_32x32x32_NT_vec
         63                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         63                             flop_count_sp                Floating Point Operations(Single Precision)      279936   424990720    21725826
         63                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         63                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         63                                inst_fp_32                                    FP Instructions(Single)      147840   218667008    11189288
         63                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         63                              inst_integer                                       Integer Instructions       21888    23582720     1223720
         63                  gld_requested_throughput                           Requested Global Load Throughput  2.2576GB/s  587.27GB/s  288.50GB/s
         63                  gst_requested_throughput                          Requested Global Store Throughput  137.71MB/s  34.488GB/s  17.233GB/s
         63                    shared_load_throughput                              Shared Memory Load Throughput  13.054GB/s  1522.9GB/s  761.35GB/s
         63                   shared_store_throughput                             Shared Memory Store Throughput  7.5743GB/s  847.94GB/s  424.88GB/s
         63                            gld_efficiency                              Global Memory Load Efficiency      98.05%     100.00%      99.38%
         63                            gld_throughput                                     Global Load Throughput  2.3024GB/s  587.27GB/s  288.52GB/s
         63                            gst_efficiency                             Global Memory Store Efficiency      75.00%     100.00%      92.06%
         63                            gst_throughput                                    Global Store Throughput  183.62MB/s  34.488GB/s  17.246GB/s
